Label,Spectral Contrast,Chroma,MFCC
10,10.560469520673896,0.24555787,-571.7708
10,9.524206973312078,0.21091384,-568.79755
10,9.937505706745561,0.28821638,-569.4156
10,10.490370110707204,0.19389863,-574.2883
10,5.49225947586414,0.29546142,-551.3819
10,10.91539549752639,0.30478653,-578.5764
10,12.552974249040375,0.24240434,-560.05945
10,9.901325328483342,0.42917988,-534.67896
10,14.444925363630823,0.21743661,-519.7471
10,13.271939593375215,0.23082447,-568.94995
10,19.949137415489886,0.2706182,-588.81635
10,16.61391663694682,0.2620257,-558.12976
10,9.059852093500247,0.33326906,-587.948
11,5.7830244076674475,0.2225984,-695.98236
11,5.7830244076674475,0.15423527,-643.9245
11,5.7830244076674475,0.40722972,-651.13904
11,5.7830244076674475,0.13335729,-685.8204
11,5.7830244076674475,0.4694212,-697.6749
11,5.7830244076674475,0.23799193,-697.1459
11,5.7830244076674475,0.23104686,-700.6267
11,5.7830244076674475,0.2527301,-711.29816
11,5.7830244076674475,0.2337035,-687.54297
11,5.7830244076674475,0.47519013,-688.5706
11,5.7830244076674475,0.15841773,-700.5563
11,5.7830244076674475,0.24591807,-706.34985
11,5.7830244076674475,0.24762797,-613.17523
11,5.7830244076674475,0.30634984,-687.7615
11,5.7830244076674475,0.24800235,-688.0065
12,13.963245014666867,0.36410317,-648.88824
12,14.317259165916639,0.31101617,-644.35284
12,14.13920319337388,0.40078753,-657.04865
12,13.648992825661296,0.32293656,-660.8211
12,14.718295356411147,0.25199306,-669.1246
12,13.078119168680828,0.25231412,-639.9885
12,13.47168654811722,0.37064627,-653.91943
12,14.292356098791132,0.25439915,-648.6396
12,15.405199969303808,0.2636089,-635.8857
12,14.608309600876282,0.33972904,-659.7657
12,18.260811122787914,0.35106826,-598.09656
12,17.716433382940274,0.28819796,-625.6363
12,18.46995685249358,0.48636338,-594.3781
12,18.811037231596295,0.3631423,-572.0144
12,17.578779455828773,0.27250314,-621.0574
15,1.7759502419411461,0.31103036,-692.5089
15,1.400672374048554,0.22298358,-906.4919
15,0.2559055507403656,0.26111603,-1007.7644
15,0.3281281070956297,0.14857237,-920.3158
13,2.3490896025959636,0.4501826,-602.33575
13,1.605065854714276,0.03826252,-618.7277
13,4.114973977222167,0.061803877,-612.1747
13,3.2737964456838817,0.40136015,-610.52594
13,9.542982966948632,0.02051681,-620.9024
13,4.1715740563659836,0.13720348,-569.6083
13,22.321972115100067,0.24896386,-605.5219
13,2.7676556190452164,0.33227986,-625.1444
13,3.193138280689105,0.26263288,-626.60394
13,3.6296608123396865,0.2392882,-629.80194
13,4.328618032175031,0.38920587,-601.96674
13,5.122567904808211,0.21100685,-616.7971
13,5.801502069883291,0.23224835,-615.6297
13,7.14917118277366,0.20534974,-616.4486
13,1.4349190714660303,0.31428933,-634.04834
14,0.6697013710316568,0.27018666,-596.22394
14,7.380654861827129,0.4719137,-593.0288
14,13.988430392431557,0.40839848,-596.87085
14,2.5707556796440514,0.34304434,-582.2377
14,1.669145932020804,0.15431808,-608.6963
14,2.7468417575767425,0.42201158,-578.60205
14,2.285920241074475,0.30480307,-559.7539
14,3.676034263687196,0.32366258,-602.51874
14,2.292371383059969,0.38895217,-610.86584
14,6.442498111973098,0.23495138,-603.79614
14,14.494897288636722,0.26823863,-595.48236
14,3.948293816737312,0.20297891,-587.2769
14,5.778902220204586,0.09415105,-533.7613
14,1.7657122516891839,0.3328905,-573.1436
14,2.9319911596025534,0.23002861,-564.7877
