Label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30
Daniel,-472.65155,91.483025,11.756384,27.640913,7.7913103,10.76853,-11.464751,-6.3273573,0.38111526,-0.9371492,-2.1619487,-5.0470004,0.44134727,0.52886695,3.9159026,-0.95965475,-0.2604534,0.8024089,-0.5820987,-2.28935,-3.1154492,-1.9503363,-2.5745163,-2.298774,-2.4086733,-0.30123606,-2.242402,-1.4428165,-0.2760281,-1.706904
Daniel,-460.4205,96.4162,5.5347543,28.403286,0.06304788,13.176363,-10.55396,-3.909579,1.3000135,0.41949302,0.20186292,-5.634899,-1.0112238,-1.8270313,2.520019,-3.04714,-1.8870662,0.026147012,-1.1495254,-3.8896427,-2.1589139,-3.0406034,-3.853713,-1.7306516,-3.8665462,-0.52243996,-3.237077,-1.8104758,-0.5956268,-1.8770432
Daniel,-488.1415,97.23678,4.305665,34.003017,-0.17054142,15.038613,-7.4621806,-8.558242,-2.1569963,-1.940594,-1.9340434,-5.2966475,-1.9588834,-2.163359,2.651304,-5.407389,-1.9930142,-0.42107522,-2.5353308,-2.8094225,-3.0535502,-2.045719,-3.6328027,-3.041868,-3.1116662,-2.2728286,-3.5959415,-2.014555,-2.6438298,-2.4021852
Daniel,-475.03073,107.96561,-3.9873326,33.196545,1.8582096,19.182135,-14.311122,-6.358605,0.44999138,-3.6571922,-0.83387977,-6.0701275,-0.07623721,-0.85257447,2.1529913,-2.060626,-2.300187,-2.2214851,-1.0919278,-5.8498445,-2.6221232,-2.3129618,-4.647993,-3.3488917,-4.269404,0.44421807,-4.129843,-2.0834463,-1.8338099,-1.7819083
David,-432.22134,98.99635,2.9219613,28.60498,10.3712845,23.822191,-17.061617,-5.159589,4.775077,-2.98618,-5.182926,-15.40061,-6.5703073,-4.516412,0.9305249,-3.145085,-5.459963,5.0842056,2.7494717,-9.712779,-3.8192775,-4.6587143,-7.202243,-4.0064383,-4.8903775,-4.4962153,-8.6665325,-2.4947224,-2.0205927,-3.64656
David,-448.10043,103.153534,0.4441445,30.273417,6.170812,27.416641,-21.219482,-3.0903604,8.560054,-3.0688984,-6.277157,-16.150438,-3.9804344,-3.6256409,0.5437269,-5.5579686,-7.0669904,5.084292,3.355077,-10.250825,-3.3489673,-4.3135295,-6.4170623,-3.76251,-6.17515,-2.0522392,-6.796641,-1.4064403,-0.25865015,-2.7480402
David,-459.44043,103.70025,6.457861,27.415157,8.769077,27.453062,-16.942621,-3.9640827,6.9479923,-2.456839,-6.966687,-15.110312,-5.189975,-5.7170134,-0.32581446,-4.9016404,-6.0956364,4.5011144,3.3396885,-8.081815,-4.0679026,-5.1419816,-6.680607,-5.2281036,-6.4298625,-2.8640807,-6.891476,-2.3647707,-1.7152809,-2.9790974
David,-447.28943,88.91518,3.8164737,30.27613,7.9360137,23.819794,-15.42961,-3.146078,7.8660946,-4.30295,-5.086414,-12.175036,-6.243889,-4.3552237,0.51584196,-4.5836153,-5.72088,3.9126515,2.2263217,-9.291209,-4.3911395,-4.0746326,-7.5021176,-5.357676,-4.79516,-1.8606113,-6.3816195,-3.2507732,-1.4502758,-3.223781
David,-470.66754,93.702156,3.9463851,36.576656,8.330403,31.155132,-16.277756,-6.965049,0.4376026,-3.2282195,-3.0637307,-13.979315,-6.0312533,-3.439805,5.7562346,-3.166351,-3.2090268,-0.20999412,4.2854924,-5.56392,-8.688281,0.012171295,-7.8089833,-4.907048,-5.972812,-3.1359942,-2.10387,-5.902942,-3.5550628,0.60920775
Didier,-386.56436,68.54634,18.788261,24.458536,8.014124,-5.696011,-18.83119,-6.249471,-4.096639,-9.688841,-8.533568,3.6222088,-7.8989663,-3.351831,-5.6240344,-5.5215063,-6.888223,-0.45332757,-4.904816,-5.535548,-3.841639,-6.5679913,-4.1017785,-2.2924917,-5.3631406,-1.1324399,0.32638314,2.6153574,-0.22037308,-0.23656514
Didier,-381.27823,73.3144,16.138334,37.281994,13.198206,-8.798333,-14.687683,-9.78359,-3.4054136,-8.849313,-6.4171615,8.32716,-5.1490755,-4.7308297,-5.12438,-7.256569,-9.425601,1.284691,-6.4832096,-4.9644017,-3.912632,-5.4149437,-7.262235,-1.0835799,-4.958129,-3.1924736,0.3580648,0.8144201,-3.2068298,-1.4467794
Didier,-408.10275,68.71837,17.485083,28.113283,8.444754,-3.9426847,-14.772539,-4.847697,-3.728257,-6.2313385,-8.13145,2.3789873,-7.853793,-7.007566,-6.8261046,-4.5961123,-5.7295837,1.9905025,-4.4683623,-2.4898968,-2.745685,-6.5638723,-6.711023,-2.7140827,-5.41631,-2.0523956,-0.6194107,1.063769,-1.2948523,2.6962886
Didier,-415.96893,74.84883,23.582882,33.89039,14.496687,-2.8178446,-15.980859,-6.377076,-4.730058,-7.8259115,-9.129506,2.5141459,-7.5560603,-8.28861,-8.776717,-5.338367,-7.6861095,-0.2501138,-5.0581017,-4.294055,-1.3842206,-7.4939437,-5.9283504,-0.2880032,-4.7094975,-2.6524062,1.4150842,2.0935802,-0.62375546,2.5841177
Didier,-370.36414,63.037872,15.811492,27.605862,8.393232,-4.951283,-17.031109,-6.92587,-2.794786,-8.0112295,-9.543898,1.4217501,-8.859491,-6.137294,-8.169971,-7.1377935,-8.51685,-2.0169315,-6.786841,-7.6389885,-7.571709,-8.48344,-6.291695,-4.6186147,-5.671277,0.15700075,1.2235415,2.9432032,1.816652,2.0529099
Erik,-289.09174,103.046165,-25.764393,26.638329,-10.300798,0.9463985,-13.208215,-11.571765,-8.172368,1.8348289,-10.72962,-16.157965,-2.4131374,-4.227631,9.548654,-7.565326,-9.195936,-0.5784502,-2.6536133,-7.130497,-5.2857227,-1.5344064,-8.38009,-3.1290307,-3.626516,-4.7632284,-2.227514,-1.6584795,-4.0612416,-2.8333032
Erik,-340.37036,86.52328,-15.225479,24.958307,0.28415868,0.58600914,-7.8692775,-10.160402,-6.9895205,-2.6560931,-10.360507,-11.118094,-6.045819,-4.150823,7.8126116,-6.7672143,-8.963542,1.0685283,-1.0803349,-7.077555,-4.234174,-2.0656538,-6.517338,-3.577769,-3.3008792,-4.237436,-2.780616,-0.07147077,-3.168208,-1.778203
Erik,-352.5299,91.60279,-14.17409,25.125574,-2.169309,3.5905895,-6.2329764,-9.502251,-7.0218134,0.04826159,-9.640667,-12.377329,-6.6258254,-5.906279,8.746101,-6.7350163,-9.070487,0.92539877,-1.8968071,-7.306654,-4.008031,-2.3737714,-7.413927,-3.7445288,-4.589072,-4.768248,-3.5088265,-0.8201149,-3.070834,-2.4067872
Erik,-314.74432,100.41309,-19.825878,28.162283,1.1998754,1.61232,-9.040483,-6.508757,-6.422204,-2.2397606,-8.531705,-15.998316,-7.3835964,-4.4609942,9.098739,-8.315146,-10.776978,3.1909218,-2.5492346,-6.966889,-4.879817,-3.1770966,-7.292036,-5.749786,-6.166693,-5.1903377,-1.5025706,-1.0435243,-2.7665722,-2.881987
Erik,-337.0208,92.47647,-11.391057,25.287352,2.3276649,0.95478994,-7.381428,-7.937319,-4.9540744,-3.1446333,-9.084799,-13.324337,-8.298951,-5.0181046,7.837184,-5.009411,-10.296864,2.1650012,-2.2586021,-6.0426855,-2.9069629,-5.2428613,-4.6531463,-4.7318273,-6.199796,-3.0141704,-2.852728,-0.38693494,-2.8460484,-2.926882
Ignacio,-406.1926,62.754932,13.733415,41.489517,-1.9122753,14.619953,-23.755938,5.2963686,-17.521723,6.2520885,-11.417571,-3.04782,-3.9515462,-8.252045,2.9635093,-3.9596865,-5.4027195,-1.3355495,-0.006466361,-8.916179,-1.2050653,-5.019198,-5.1527786,-6.7497063,-3.1714327,-7.1439548,-4.706534,-4.818357,-4.2357225,-2.5243137
Ignacio,-444.18335,63.471634,18.583033,42.174324,1.7967647,19.74604,-25.471447,2.9235468,-15.974729,5.7519016,-9.017927,-4.595896,-3.285341,-8.010661,5.0555363,-5.4185643,-5.479978,-0.28414422,-1.2405246,-6.494813,-0.38186988,-4.156036,-4.9427843,-5.7800493,-3.6626604,-5.6465335,-4.529898,-4.5012665,-3.1611016,-2.654172
Ignacio,-455.57455,65.48835,21.258614,47.301075,-2.572022,23.337801,-29.402613,9.302199,-12.930571,1.2370347,-5.856983,0.9286044,-6.311471,-6.471089,2.6223233,-9.355455,-2.173652,-0.53494585,-1.5722721,-8.749913,-0.2466916,-4.441332,-6.5456686,-5.6972995,-0.9145044,-5.3641715,-5.95151,-3.6760254,-2.6447601,-4.4002557
